Keys,Definitions,Topic,Name
amră,peacock,11,11_bird_birds_rooster_nest
amrĕ,red pepper,-1,-1_to_be_of_and
amrĕ nô,"type of red pepper, large and not so hot ",-1,-1_to_be_of_and
amrĕl,words of someone insisting they can do something but they can't,16,16_desire_want_do_strive
"anai, nai","different, another",-1,-1_to_be_of_and
anaǐ,to think mistakenly ,10,10_think_speak_understand_tell
anam ,necklace of beads,46,46_chain_necklace_metal_bracelet
anat,difficult,-1,-1_to_be_of_and
anăn,name,13,13_person_people_1st_2nd
anăp,in front of ,-1,-1_to_be_of_and
sơnăm anăp,next year,3,3_time_day_night_if
anễ,in the middle,-1,-1_to_be_of_and
anih,place,-1,-1_to_be_of_and
ano,to give oneself a name meaning strong,-1,-1_to_be_of_and
anong,to carry by pole on shoulder,2,2_hit_hand_carry_stick
anỗ,to go,12,12_quickly_walking_go_walk
anul,"to play, tease",-1,-1_to_be_of_and
anŭng,a package,0,0_praise_greet_oh_me
and,"glory, famous, report",0,0_praise_greet_oh_me
anglaī-anglaī,dangerous things,39,39_afraid_fearful_scary_frightened
anglop,sheath for sword,38,38_knife_blade_handle_sword
angỡm,"headband, to put on headband",7,7_clothes_head_cloth_wrinkled
anhăk,"to carry along, bring",2,2_hit_hand_carry_stick
anhok,"to choke with string, rope",18,18_thread_weaving_instrument_wind
anhŭn,hammock,0,0_praise_greet_oh_me
ao,"shirt, blouse ",7,7_clothes_head_cloth_wrinkled
"apa, apo apa",to dream of something that happened during the day,16,16_desire_want_do_strive
apah,"to pay wages, to reward",-1,-1_to_be_of_and
apĩnh,"ask for, beg for",-1,-1_to_be_of_and
apo,to dream,16,16_desire_want_do_strive
apoh,to communicate a disease,10,10_think_speak_understand_tell
apôm,"round, roundish",-1,-1_to_be_of_and
apơi,"to wish, beseech",16,16_desire_want_do_strive
apŭng,section area,0,0_praise_greet_oh_me
arah,bedbug,0,0_praise_greet_oh_me
arăk,"crisp, brittle, hard",-1,-1_to_be_of_and
arăng,hard (material),-1,-1_to_be_of_and
arăng grăng,"well, having no illness",24,24_sick_tired_sleep_sickness
areh,to hate,22,22_angry_sad_insult_threaten
areh,a type of tree,19,19_tree_branch_branches_trees
arih,to live,-1,-1_to_be_of_and
aroh,type of tree with fruit used to trap birds,-1,-1_to_be_of_and
arỡp-arăp,bad backache,-1,-1_to_be_of_and
arum,roar of tiger,1,1_noise_sound_tiger_of
asai,to fish with rod,21,21_fish_catch_net_poison
aseh,horse,31,31_horse_pig_cow_goat
asêu,sound of sneeze,1,1_noise_sound_tiger_of
asi,chirp of bird,11,11_bird_birds_rooster_nest
asong,"to divide, distribute",-1,-1_to_be_of_and
asu,to cover oneself with a blanket,-1,-1_to_be_of_and
ataih,far,-1,-1_to_be_of_and
ataih yaih,very far,-1,-1_to_be_of_and
ată,"give authority, request, accuse",45,45_lie_accuse_fool_deceive
atăng,to hang up - as a banner,-1,-1_to_be_of_and
atăr,strap of basket ,-1,-1_to_be_of_and
ate ,type of gruel eaten with rest of meal-meat and bamboo sprouts,15,15_bamboo_tube_xylophone_tall
"athay, athei","to command, order ",-1,-1_to_be_of_and
athĕn,"to command, order",-1,-1_to_be_of_and
atol,to hang,-1,-1_to_be_of_and
atop ,to roll up in,56,56_roll_up_curl_curled
atŏ,equal,-1,-1_to_be_of_and
atŏk,to lift something up,2,2_hit_hand_carry_stick
atŏl,stalk of bananas,-1,-1_to_be_of_and
atŏng,stem ,9,9_fruit_leaf_plant_leaves
"atâu, atŏu","ghost, corpse",25,25_died_ceremony_grave_sacrifice
atỡm,to fasten thatch to roof frame ,-1,-1_to_be_of_and
"atỡng ,  'long atỡng",sticks used as frame in weaving,18,18_thread_weaving_instrument_wind
atŭch,"to fall short of the mark, to move backward",33,33_fall_down_descend_stumble
awan,section of bamboo,15,15_bamboo_tube_xylophone_tall
awăt,type of bird living on ground,11,11_bird_birds_rooster_nest
"awih, awih-awăn","to serve, help ",0,0_praise_greet_oh_me
ayăt,"trouble, unrest, dislike ",22,22_angry_sad_insult_threaten
bơngai ayăt,enemy ,-1,-1_to_be_of_and
ayeh,compassionate,-1,-1_to_be_of_and
ayĕl,sing,-1,-1_to_be_of_and
ayor,of a smell to permeate,-1,-1_to_be_of_and
ayơ,"where, which",-1,-1_to_be_of_and
ăl,intensifier ,-1,-1_to_be_of_and
ăn,give ,0,0_praise_greet_oh_me
ăt,a yoke,0,0_praise_greet_oh_me
ba,1st person dual inclusive ,13,13_person_people_1st_2nd
ba,"to take along with, go along with ",-1,-1_to_be_of_and
bah,"downriver, south",-1,-1_to_be_of_and
"bah, dak bah",flowing water with debris in it,8,8_water_river_sea_stream
bah,"wash, wipe with water",48,48_clean_wash_dirty_rub
Bahnar,Bahnar,0,0_praise_greet_oh_me
bai,small bamboo basket,-1,-1_to_be_of_and
bal ,harlot ,0,0_praise_greet_oh_me
bang ,see clearly,28,28_look_at_peek_test
bă,spoon,20,20_teeth_mouth_throat_lick
băk,nighthawk,3,3_time_day_night_if
băl,"each other, reciprocal ",43,43_together_meet_gather_discuss
blah băl,fight each other ,-1,-1_to_be_of_and
"băn, tơpỗ băn",very good friend apparently with special bond or contract ,13,13_person_people_1st_2nd
băt,to know,0,0_praise_greet_oh_me
bek,fat ,26,26_stomach_fat_strong_bloated
ben,"craw, crop of birds",11,11_bird_birds_rooster_nest
beng,to shove,2,2_hit_hand_carry_stick
bĕ,"imperative, often has the idea of including speaker in action of the verb",34,34_particle_final_question_imperative
bĕl tơbĕl,designates something small,23,23_size_large_fit_wide
bĕng,to carry as in holster,2,2_hit_hand_carry_stick
"bia, prit bia",long green type bananas,-1,-1_to_be_of_and
biao,"completely gone, nothing there ",5,5_more_nothing_completely_all
biĕm,second person dual,13,13_person_people_1st_2nd
biĕng,to express feelings with eyes,55,55_eyes_eye_cockeyed_crosseyed
bioh,"to hit with fist, box",2,2_hit_hand_carry_stick
biôi,lime,0,0_praise_greet_oh_me
biônh,type of smile,-1,-1_to_be_of_and
biông,large basket used for measuring rice,6,6_rice_husked_cooked_grain
bip,duck,11,11_bird_birds_rooster_nest
bǐ,"and (you), how about (you)",-1,-1_to_be_of_and
bī,negative ,-1,-1_to_be_of_and
bih,poison,-1,-1_to_be_of_and
bla,kidneys,0,0_praise_greet_oh_me
"blach, plei blach",Adam's apple ,0,0_praise_greet_oh_me
blah,to split,-1,-1_to_be_of_and
blah,to fight ,-1,-1_to_be_of_and
blah ,"classifier for clothes, blankets",-1,-1_to_be_of_and
blai,to overflow,41,41_over_change_turn_turning
blang,"to open fist, unfold cloth",7,7_clothes_head_cloth_wrinkled
blang,to split,-1,-1_to_be_of_and
blăn,marks on skin as toothmarks,17,17_dark_skin_white_black
blei,to curse name of other person's parents,-1,-1_to_be_of_and
blip,to keep coming though you try to stop,30,30_stop_prevent_keep_doing
 blip,dark all over as about to rain ,17,17_dark_skin_white_black
blo ,a fruit with several edible outer layers,9,9_fruit_leaf_plant_leaves
"blo, blo tơblo",to designate person with puffed cheek because of food inside,20,20_teeth_mouth_throat_lick
blok,to turn head,7,7_clothes_head_cloth_wrinkled
blŏng,handle of axe,38,38_knife_blade_handle_sword
bloih,to shoot at something nearby and miss,2,2_hit_hand_carry_stick
blŏng-blĕnh,of a log to turn,-1,-1_to_be_of_and
blôk,of water to boil up,4,4_fire_light_boil_kettle
biôm,edible part of jackfruit,-1,-1_to_be_of_and
"blông, roi blông",person covering up with words his real feelings,-1,-1_to_be_of_and
blông,gallop,0,0_praise_greet_oh_me
blôt,of wood bamboo to be still green though cut already,15,15_bamboo_tube_xylophone_tall
blơch,"describes food that is oily and smooth as peanut butter, pounded squash seeds",-1,-1_to_be_of_and
blỡ,"to turn over of own accord as car, waves; to turn pages",41,41_over_change_turn_turning
blỡ blĕch,"to be changeable, not keeping one's word",41,41_over_change_turn_turning
blu,"upper leg, thigh",35,35_leg_arm_legs_joint
bluh,to sprout out of the ground,-1,-1_to_be_of_and
blũk blũk,the bubbling up of water from someone drowning or ghost,1,1_noise_sound_tiger_of
blũng,to penetrate,37,37_hole_plug_drill_sink
blũt,to feel angry inside,22,22_angry_sad_insult_threaten
blư,to describe sudden arrival of someone,-1,-1_to_be_of_and
blư-bla,sudden arrival of many people,13,13_person_people_1st_2nd
"bo, 'ba bo",rice grain with no kernel,6,6_rice_husked_cooked_grain
"boih, bơih",already,53,53_then_therefore_also_but
bong ,casket ,25,25_died_ceremony_grave_sacrifice
bop ,"to be thin-looking with age as man, bamboo ",15,15_bamboo_tube_xylophone_tall
bot,"clean, beautiful--house,clothes",7,7_clothes_head_cloth_wrinkled
bŏ,mumps,-1,-1_to_be_of_and
bŏk,"to hollow out, make hole in wood large or small",37,37_hole_plug_drill_sink
bŏk ak,"armpit, underarm",35,35_leg_arm_legs_joint
"bŏl, bŏl",island,0,0_praise_greet_oh_me
"bŏng, nhŭng bŏng","boar, male pig",31,31_horse_pig_cow_goat
"bâu, bŏu roi ",to talk about behind one's back,-1,-1_to_be_of_and
"bô, sem bô",owl,11,11_bird_birds_rooster_nest
bôǐ,small jar,47,47_wine_jar_pour_great
"bôk, prit bôk-prit Yuăn","short fat yellow bananas also known as ""Vietnamese bananas""",-1,-1_to_be_of_and
bôk,greyish white,17,17_dark_skin_white_black
bôl,"friend, companion, peer",13,13_person_people_1st_2nd
"bôm, 'bih bôm",poisonous green snake,54,54_snake_rattan_poisonous_stripes
bôn kơne,upper arm muscles,35,35_leg_arm_legs_joint
bơ,small black fish,21,21_fish_catch_net_poison
bơ-,prefix used to imitate stuttering,-1,-1_to_be_of_and
"bơang, bơuh-bơang",to perspire profusely,0,0_praise_greet_oh_me
"bơbah, gah bơbah","toward the mouth of the river, south",8,8_water_river_sea_stream
bơde,goat,31,31_horse_pig_cow_goat
bơbŏk,to take out with hands to eat,20,20_teeth_mouth_throat_lick
bơbŏng,the neck of a gourd (water container) or bottle,-1,-1_to_be_of_and
bơbông,to designate appearance of a large hole,37,37_hole_plug_drill_sink
bơbỡ,to prepare meat for cooking,-1,-1_to_be_of_and
bơbỡt-bơbăt,to hit long and hard or to work a long time,2,2_hit_hand_carry_stick
bơbrǐl,the feeling one gets on his bare feet when walking over pebbly ground,12,12_quickly_walking_go_walk
bơbrŏk,of conversation to go back and forth,10,10_think_speak_understand_tell
bơbrŏng,to designate an empty house,-1,-1_to_be_of_and
bơbrơng,to designate a smelly mess with flies all over it,-1,-1_to_be_of_and
bơbrỡk-bơbrăk,to designate many people talking continually,1,1_noise_sound_tiger_of
bơbul,"not able to see much, almost blind",-1,-1_to_be_of_and
bơbul,rounded jar,47,47_wine_jar_pour_great
bơbŭng,"roof, also a classifier for house",-1,-1_to_be_of_and
bơhleng,of a woman to have a continual desire to eat,40,40_eat_eating_food_hungry
"bơhlik, pơma bơhlik",to tell over and over even though a person has heard,1,1_noise_sound_tiger_of
bơhlik-bơhlak,destruction,25,25_died_ceremony_grave_sacrifice
bơhngir,body odor,-1,-1_to_be_of_and
bơhur,to be very hot at night,42,42_cold_hot_cool_season
bơla ,elephant,1,1_noise_sound_tiger_of
bơlah,rice cooked in banana leaves or bamboo sections and boiled,6,6_rice_husked_cooked_grain
bơlang,bird with white standing feathers on head,11,11_bird_birds_rooster_nest
"bơlang, brai bơlang",white thread,18,18_thread_weaving_instrument_wind
bơlao,day before yesterday or most a few days ago,3,3_time_day_night_if
bơlăm,of children to talk to themselves,14,14_children_law_mother_father
"bơle, che bơle","to scorn, make fun of",-1,-1_to_be_of_and
"bơling, sem bơling",bird,11,11_bird_birds_rooster_nest
bơlŏ,fever,-1,-1_to_be_of_and
"bơlŏu, hla bơlŏu",the leaf part used in betel nut mixture,9,9_fruit_leaf_plant_leaves
bơlôh,hole in wall as rat hole,37,37_hole_plug_drill_sink
bơlơh,"to take over for, to exchange things or positions, relieve ",41,41_over_change_turn_turning
bơlỡk,aluminum,46,46_chain_necklace_metal_bracelet
bơlũ,to mix different things together,43,43_together_meet_gather_discuss
bơluỡl,"to mumble, not able to talk",10,10_think_speak_understand_tell
bolũk,to overeat or drink,-1,-1_to_be_of_and
bơmĕng gŏ,kettle black,4,4_fire_light_boil_kettle
bơnông,ceremony for someone who has died away from home and body not returned,25,25_died_ceremony_grave_sacrifice
"bơmŏu, bơnâu",mushroom,-1,-1_to_be_of_and
bơmỡt,west,0,0_praise_greet_oh_me
bơmreh,dead branch with no leaves,19,19_tree_branch_branches_trees
bơmuih,field made in woods,32,32_grass_weeds_garden_woods
"bơnă, bơngai bơnă",captive,0,0_praise_greet_oh_me
bơneh,"word used to describe intensive activity, not sure whether body part or intensive only",29,29_intensive_form_lơ_truly
bơnei,waist,-1,-1_to_be_of_and
bơnĕcg,tree stump cut on angle,19,19_tree_branch_branches_trees
bơnê,"to thank, be grateful ",-1,-1_to_be_of_and
bơnŏ,to be weak,26,26_stomach_fat_strong_bloated
bơnỡng,"lid, cover",-1,-1_to_be_of_and
bonỡt,dam,-1,-1_to_be_of_and
bơnũng,young bamboo,15,15_bamboo_tube_xylophone_tall
bơng,"the stomach of a cow, carabao",-1,-1_to_be_of_and
bơng,hollow tree trough made from cut log,19,19_tree_branch_branches_trees
"bơnga, klăn bơnga",the long variety of python,0,0_praise_greet_oh_me
bơngai,"person, people ",13,13_person_people_1st_2nd
kon bơngai,mankind,13,13_person_people_1st_2nd
bơngoi,"sad, crestfallen",22,22_angry_sad_insult_threaten
"bơnhă, đak bơnhă",type of spring,-1,-1_to_be_of_and
bơnhuăl,type of anteater,27,27_bee_ant_insect_fly
bonhŭl,toadstool ,-1,-1_to_be_of_and
bơŏ,"description of fat-cheeked, fat-bellied child",26,26_stomach_fat_strong_bloated
bơôr,bloated,26,26_stomach_fat_strong_bloated
bơỗ,"similar to bơŏ but describing an adult, bloated as in death",-1,-1_to_be_of_and
bơring,to lead a sick person,24,24_sick_tired_sleep_sickness
bơrơng,"to watch, take care of children or animals",14,14_children_law_mother_father
bơsa,instrument used to keep thread close together in weaving,18,18_thread_weaving_instrument_wind
"bơsat, pơsat","tomb, cemetery, grave",25,25_died_ceremony_grave_sacrifice
bơsŭn,"hut, shelter",-1,-1_to_be_of_and
bơuh,to perspire,0,0_praise_greet_oh_me
bơwang,to encircle,-1,-1_to_be_of_and
bơwĕnh,cowlick,0,0_praise_greet_oh_me
bơwīnh-bơwīnh,move around in place,-1,-1_to_be_of_and
bơya hong,crocodile,-1,-1_to_be_of_and
bơyong,to sing mimicking one another,-1,-1_to_be_of_and
boyỡng,to go for a walk usually used as euphemism for going to the bathroom,12,12_quickly_walking_go_walk
bỡ,"to work, build to work",-1,-1_to_be_of_and
bỡl,dull (knife),38,38_knife_blade_handle_sword
bỡn,1st person plural inclusive ,13,13_person_people_1st_2nd
bỡn,pluralizer usually used when more than one type of is being,-1,-1_to_be_of_and
bỡng,to cover pot with leaves and tie around ,4,4_fire_light_boil_kettle
bỡt,to make a dam,-1,-1_to_be_of_and
brai,thread,18,18_thread_weaving_instrument_wind
bram,beard of billy goat,31,31_horse_pig_cow_goat
bơbe bram,billy goat,31,31_horse_pig_cow_goat
brang,plant used to make rope,-1,-1_to_be_of_and
brăm,not the best but okay,0,0_praise_greet_oh_me
"brăng, kŏ brăng",millipede,-1,-1_to_be_of_and
bre,dualizer for 3rd person,13,13_person_people_1st_2nd
bre sư,those two,-1,-1_to_be_of_and
bre,term designating many people only used in vocative,-1,-1_to_be_of_and
brĕ,"carefully, well ",-1,-1_to_be_of_and
"brĕch, 'ba brĕch",wild rice,6,6_rice_husked_cooked_grain
brei,yesterday,3,3_time_day_night_if
brĕl,"small, round objects like peanuts",-1,-1_to_be_of_and
brĕng,type of tree--very large,19,19_tree_branch_branches_trees
brĕnh,color combination of having small spots of black and white,17,17_dark_skin_white_black
brĕng,rust,46,46_chain_necklace_metal_bracelet
bri,woods,32,32_grass_weeds_garden_woods
brih,to pass by ,-1,-1_to_be_of_and
brǐng ,"evil, bad",-1,-1_to_be_of_and
bro,area of land beside field not yet cultivated,32,32_grass_weeds_garden_woods
broch,to harvest rice by stripping grains from plant,6,6_rice_husked_cooked_grain
broi,regular hard rice ,6,6_rice_husked_cooked_grain
brong,type of basket carried on back,-1,-1_to_be_of_and
brỡk,return,-1,-1_to_be_of_and
"brôn, tung brôn",to be in prime of life,-1,-1_to_be_of_and
brôn,itchiness from riding wet animal,-1,-1_to_be_of_and
brônh,color combination such as that of a tiger ,1,1_noise_sound_tiger_of
brỡ-brỡ,of money to be spent easily,-1,-1_to_be_of_and
brỡng ,basket with decorative layer,-1,-1_to_be_of_and
bru-bra,to designate many small things coming out from a hole,37,37_hole_plug_drill_sink
brua,"to indicate the way rice, people come out of somewhere",6,6_rice_husked_cooked_grain
bruơ,intensification of brua,-1,-1_to_be_of_and
bruang,to indicate a large house,28,28_look_at_peek_test
bruỡng,"to indicate very large house, intensification of bruang",28,28_look_at_peek_test
"bruh, brit","dirty, uncouth",48,48_clean_wash_dirty_rub
brui,corn hair,50,50_hair_unruly_matted_curly
brunh,color combination like gray,17,17_dark_skin_white_black
brŭl,mountain goat,31,31_horse_pig_cow_goat
brữ,grave-abandoning ceremony,25,25_died_ceremony_grave_sacrifice
"brữ, apo brữ",to have dream indicating bad luck,16,16_desire_want_do_strive
bu ,who?,13,13_person_people_1st_2nd
bud,"friend, neighbor",13,13_person_people_1st_2nd
"buk, khăn buk","Vietnamese, Western-type blanket",-1,-1_to_be_of_and
"bul, 'bok bul",scarecrow,0,0_praise_greet_oh_me
bung-bang,type of shrub ,32,32_grass_weeds_garden_woods
bữk,of trees to be rotten,-1,-1_to_be_of_and
bŭl,clearing,48,48_clean_wash_dirty_rub
bŭng,type of basket,-1,-1_to_be_of_and
"bŭng, gŏ bŭng",large kettle,4,4_fire_light_boil_kettle
"bŭt, săng bŭt",chopping knife,38,38_knife_blade_handle_sword
bưh,alright,-1,-1_to_be_of_and
bưh bưh,continually,-1,-1_to_be_of_and
"""ba","unhusked rice, rice at any stage in the fields",6,6_rice_husked_cooked_grain
"""bai",variety of guava,-1,-1_to_be_of_and
"""bai",lesson,10,10_think_speak_understand_tell
"""bak",white in reference to skin,17,17_dark_skin_white_black
"""bao",bag,-1,-1_to_be_of_and
"""bap",to indicate way mouth opens and closes,20,20_teeth_mouth_throat_lick
"""bar",two,-1,-1_to_be_of_and
"""bă",father ,14,14_children_law_mother_father
"""băk",to put on over the head,7,7_clothes_head_cloth_wrinkled
"""băng",sorcerize,10,10_think_speak_understand_tell
"""băt",salty,-1,-1_to_be_of_and
"""beh",tame,-1,-1_to_be_of_and
"""bet","stab, pierce",-1,-1_to_be_of_and
"""bĕng",bread,0,0_praise_greet_oh_me
"""bĕng ""bŏng","to play cards, gamble",-1,-1_to_be_of_and
"""bĕnh",full ,5,5_more_nothing_completely_all
"""bĕnh-""bang",very full,5,5_more_nothing_completely_all
"""bǐch",to lie down,45,45_lie_accuse_fool_deceive
"""bih",snake,54,54_snake_rattan_poisonous_stripes
"""bih, 'bis, 'bih",expression used to drive out goats,31,31_horse_pig_cow_goat
"""biơu",smooth,-1,-1_to_be_of_and
"""biỡ","a little, a bit, sometimes used as a comparative ",5,5_more_nothing_completely_all
"""blang, ‘long ""blang",kapok,0,0_praise_greet_oh_me
"""blă",to indicate the releasing of one's grip,2,2_hit_hand_carry_stick
"""blaǐ-""blaǐ",don't dare,-1,-1_to_be_of_and
"""blek-'blek",to designate movement of a shiny object ,-1,-1_to_be_of_and
"""blep",correct right,-1,-1_to_be_of_and
"""blêr",to open eyes from sleep ,-1,-1_to_be_of_and
"""blop","to fit, cover exactly",23,23_size_large_fit_wide
"""blop-'blop",to lie,45,45_lie_accuse_fool_deceive
"""bo","no more, enough",5,5_more_nothing_completely_all
"""bo-""bang","plenty, enough",5,5_more_nothing_completely_all
"""boh",salt ,-1,-1_to_be_of_and
"""boi","follow footprints, repeat after, copy written material ",-1,-1_to_be_of_and
"""bok","grandfather, sir, Mr.",14,14_children_law_mother_father
"""bot","to put arm in hole, to put on bracelet ",46,46_chain_necklace_metal_bracelet
bŏ,cheek,-1,-1_to_be_of_and
‘long 'bơ,a harrow,0,0_praise_greet_oh_me
‘bơ'băp 'bơ'băp,chattering of teeth,20,20_teeth_mouth_throat_lick
"""bơ'bel ",to keep on doing ,30,30_stop_prevent_keep_doing
"""bơ""blŏ-""bơ""blônh-mônh",to have no desire to do,16,16_desire_want_do_strive
"""bơ""brŏng",to designate an empty house,-1,-1_to_be_of_and
"""bơch",to forget and do something though dangerous,-1,-1_to_be_of_and
‘bơh,megaphone ,0,0_praise_greet_oh_me
"""bơm",to hit target,2,2_hit_hand_carry_stick
‘bỡr,mouth,20,20_teeth_mouth_throat_lick
‘bỡt,"to fix dislocated limbs or knives, etc.",38,38_knife_blade_handle_sword
‘bỡt,place,-1,-1_to_be_of_and
"""brăl-""brăl",to designate noise and action of easily breaking stick,1,1_noise_sound_tiger_of
‘bre,to designate small object that is very red ,-1,-1_to_be_of_and
"""brĕ-""bră",describes water coming out of many places in a mountain,8,8_water_river_sea_stream
‘brĕng,"to hear clear and well, to suddenly hear ",1,1_noise_sound_tiger_of
"""brĕng-""brĕnh",to designate the action and appearance of fumes,-1,-1_to_be_of_and
"""brĕt-""brĕt",gradually,-1,-1_to_be_of_and
‘bri,ruddy complexion ,17,17_dark_skin_white_black
"""brīu",ruddy complexion or red and shiny wood,17,17_dark_skin_white_black
‘bro,hoarse,1,1_noise_sound_tiger_of
"""broih",of fish not to be sticky,-1,-1_to_be_of_and
"""brôih",brush,-1,-1_to_be_of_and
"""brông", to describe many that are all red,-1,-1_to_be_of_and
"""brơn","to treat impolitely, be discourteous or mean",22,22_angry_sad_insult_threaten
"""brơu",the long good leaf of tobacco,9,9_fruit_leaf_plant_leaves
"""brỡk",to feel sorry for,0,0_praise_greet_oh_me
"""brỡm","arrow, bullets, quills of porcupine",-1,-1_to_be_of_and
"""bruih","dust, rubbish ",-1,-1_to_be_of_and
"""brŭng",ripe-colored rice,6,6_rice_husked_cooked_grain
"""brưch","to designate rays of dawning sun, coming up of full moon",-1,-1_to_be_of_and
"""bui",dust,-1,-1_to_be_of_and
"""buih","yeast, a substance put in rice wine ",6,6_rice_husked_cooked_grain
"""bum ",tuber,-1,-1_to_be_of_and
"""bŭ",to bury,25,25_died_ceremony_grave_sacrifice
"""bŭng",small metal pitcher-shaped pot ,4,4_fire_light_boil_kettle
"""bŭng",a type of guava which is red inside when ripe,9,9_fruit_leaf_plant_leaves
"""bưk-""bưk",to talk big,23,23_size_large_fit_wide
cha-chah,imitation of early speech of baby ,14,14_children_law_mother_father
chai ,"inflammable tree pitch, plastic, glass",19,19_tree_branch_branches_trees
chak,white-tailed,17,17_dark_skin_white_black
cham ,yard around house ,-1,-1_to_be_of_and
chang ,"wait for, expect",3,3_time_day_night_if
chang-lă,type of grass with stickers,32,32_grass_weeds_garden_woods
chap ,sparrow-like bird,11,11_bird_birds_rooster_nest
char ,type of wild cat ,36,36_dog_hunting_prey_wild
char ,"country, district ",-1,-1_to_be_of_and
char ,flesh burn from being too near fire all the time ,4,4_fire_light_boil_kettle
chi,to look for ,28,28_look_at_peek_test
chăl,"part, chapter",-1,-1_to_be_of_and
chăl,to chop wood of small diameter ,-1,-1_to_be_of_and
chăr,"to split bamboo into small pieces, to make cord ",15,15_bamboo_tube_xylophone_tall
chăt ,to sprout,-1,-1_to_be_of_and
che ,cloth,7,7_clothes_head_cloth_wrinkled
"che, hla che dak che",tea,-1,-1_to_be_of_and
cheh,to hatch,0,0_praise_greet_oh_me
cheh-reh,termite,-1,-1_to_be_of_and
chek,of animals to have many offspring,14,14_children_law_mother_father
chem-chom,"a trap, a place hard to get out of ",44,44_trap_animals_bait_pam
cheng ,"to lean, to go to the side",-1,-1_to_be_of_and
chep-chep,cheep cheep,0,0_praise_greet_oh_me
chĕng,"to divide into parts, partition",-1,-1_to_be_of_and
chĕp,to hold in hand,2,2_hit_hand_carry_stick
