,Keys,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
16,adreng,"fry, cook without water",84,84_boil_cook_cooking_cooked,"['boil', 'cook', 'cooking', 'cooked', 'fry', 'throb', 'potatoes', 'stew', 'amount', 'water']","['a boil', 'of water to boil up', 'of water to boil ']",boil - cook - cooking - cooked - fry - throb - potatoes - stew - amount - water,1.0,False
17,adrih,"alive (plant life), raw, unripe",59,59_leaf_leaves_edible_plant,"['leaf', 'leaves', 'edible', 'plant', 'flowers', 'potato', 'sweet', 'flower', 'stem', 'new']","['leaf stem and main vein running up middle of leaf ', 'leaf ', 'an edible leaf (plant)']",leaf - leaves - edible - plant - flowers - potato - sweet - flower - stem - new,1.0,False
18,adrin,"to strive, persevere",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
19,adrin-adrai,to strive even though not expected to,27,27_desire_want_eager_do,"['desire', 'want', 'eager', 'do', 'wish', 'wants', 'greedy', 'purpose', 'no', 'what']","['to want, desire', 'to want, desire ', 'to want, desire']",desire - want - eager - do - wish - wants - greedy - purpose - no - what,0.3399663712299852,False
20,adro,"widow, widower; cicada ",8,8_family_younger_mother_women,"['family', 'younger', 'mother', 'women', 'brother', 'father', 'daughter', 'older', 'children', 'child']","[""father's or mother's elder brother "", 'an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'younger brother of father or mother']",family - younger - mother - women - brother - father - daughter - older - children - child,0.8798865621986954,False
21,adroch,edible grass-like leaf,59,59_leaf_leaves_edible_plant,"['leaf', 'leaves', 'edible', 'plant', 'flowers', 'potato', 'sweet', 'flower', 'stem', 'new']","['leaf stem and main vein running up middle of leaf ', 'leaf ', 'an edible leaf (plant)']",leaf - leaves - edible - plant - flowers - potato - sweet - flower - stem - new,0.7760597604237489,False
22,adrok,the skin that a snake sheds,82,82_snake_rattan_poisonous_stripes,"['snake', 'rattan', 'poisonous', 'stripes', 'sheds', 'largest', 'extremely', 'alternate', 'mythical', 'white']","['a kind of snake the size of rattan', 'type of poisonous snake with black and white stripes', 'snake']",snake - rattan - poisonous - stripes - sheds - largest - extremely - alternate - mythical - white,1.0,False
23,adrol,"before, in front of, first",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
24,adron,animal shed,14,14_horse_pig_wild_boar,"['horse', 'pig', 'wild', 'boar', 'animal', 'cow', 'oink', 'cowlick', 'wolf', 'cat']","['cowlick of horse or cow', 'horse', 'mane of horse, pig']",horse - pig - wild - boar - animal - cow - oink - cowlick - wolf - cat,0.9231504759443823,False
25,adrŏ,"to wiggle, squirm, shake ",48,48_shake_fear_shaking_earthquake,"['shake', 'fear', 'shaking', 'earthquake', 'cold', 'head', 'from', 'explosion', 'electrical', 'flap']","['to shake from fear', 'to shake from fear', 'to shake from fear ']",shake - fear - shaking - earthquake - cold - head - from - explosion - electrical - flap,0.3598066350116856,False
26,adrŏ tơdrenh,many objects shaking,48,48_shake_fear_shaking_earthquake,"['shake', 'fear', 'shaking', 'earthquake', 'cold', 'head', 'from', 'explosion', 'electrical', 'flap']","['to shake from fear', 'to shake from fear', 'to shake from fear ']",shake - fear - shaking - earthquake - cold - head - from - explosion - electrical - flap,0.9841500384997834,False
27,"adrŏk, kưt adrŏk",toad,58,58_frog_lives_toad_toadstool,"['frog', 'lives', 'toad', 'toadstool', 'edible', 'snail', 'water', 'yellow', 'frogtoad', 'cheeks']","['an edible frog that noise ', 'large edible frog ', 'small frog that lives in the water ']",frog - lives - toad - toadstool - edible - snail - water - yellow - frogtoad - cheeks,1.0,False
28,adrỗ,alone,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
29,adrŏm,evening,81,81_night_morning_afternoon_day,"['night', 'morning', 'afternoon', 'day', 'early', 'feast', 'oclock', 'festival', 'evening', 'during']","['night', 'at night night time', 'at night night time']",night - morning - afternoon - day - early - feast - oclock - festival - evening - during,1.0,False
30,adruh,"young unmarried lady, girl",8,8_family_younger_mother_women,"['family', 'younger', 'mother', 'women', 'brother', 'father', 'daughter', 'older', 'children', 'child']","[""father's or mother's elder brother "", 'an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'younger brother of father or mother']",family - younger - mother - women - brother - father - daughter - older - children - child,0.27102417442280163,False
31,adruh tơdăm,young people (girls and boys),35,35_people_many_group_race,"['people', 'many', 'group', 'race', 'doing', 'behind', 'another', 'together', 'walking', 'young']","['many people doing something together', 'people ', 'many people']",people - many - group - race - doing - behind - another - together - walking - young,0.47701729166260265,False
32,adrŭ,to shake in container,48,48_shake_fear_shaking_earthquake,"['shake', 'fear', 'shaking', 'earthquake', 'cold', 'head', 'from', 'explosion', 'electrical', 'flap']","['to shake from fear', 'to shake from fear', 'to shake from fear ']",shake - fear - shaking - earthquake - cold - head - from - explosion - electrical - flap,1.0,False
33,agăm,can not marry each other because related,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
34,agor,"shinny up tree, cross water on rope",16,16_tree_trees_log_branch,"['tree', 'trees', 'log', 'branch', 'branches', 'stump', 'pitch', 'dead', 'trunk', 'rub']","['type of tree--very large', 'a type of tree', 'the Têt tree ']",tree - trees - log - branch - branches - stump - pitch - dead - trunk - rub,0.4468272869605326,False
35,agŏu,to meet together,41,41_together_meet_along_gather,"['together', 'meet', 'along', 'gather', 'agree', 'discuss', 'common', 'go', 'things', 'accept']","['together ', 'to meet together', 'to meet together, to gather things']",together - meet - along - gather - agree - discuss - common - go - things - accept,1.0,True
36,aguăt,centipede ,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
37,ah (no initial glottal) ,final question particle,21,21_particle_final_question_imperative,"['particle', 'final', 'question', 'imperative', 'emphasis', 'polite', 'huh', 'negative', 'marker', 'verb']","['final particle', 'final question particle ', 'final question particle']",particle - final - question - imperative - emphasis - polite - huh - negative - marker - verb,1.0,True
38,ahrei,"now, these days",3,3_this_maybe_like_even,"['this', 'maybe', 'like', 'even', 'now', 'therefore', 'so', 'also', 'probably', 'but']","['perhaps, maybe this, maybe that ', 'like this', 'maybe this, maybe that']",this - maybe - like - even - now - therefore - so - also - probably - but,0.7180485831379719,False
39,ai ,"lucky, fortunate, also meaning of strength, authority in some mystical sense",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
40,"ai, măk ai","fault, responsibility",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
41,măk ai kơ ih,it will be your fault,49,49_lie_fool_believe_me,"['lie', 'fool', 'believe', 'me', 'pardon', 'try', 'token', 'intent', 'crime', 'persuade']","['to lie', 'to lie', 'to lie, fool']",lie - fool - believe - me - pardon - try - token - intent - crime - persuade,0.4255073843621848,False
42,aĭ,to be equal,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
43,aī,vocative in final position,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
44,ajar,a forest plant which has edible flowers,59,59_leaf_leaves_edible_plant,"['leaf', 'leaves', 'edible', 'plant', 'flowers', 'potato', 'sweet', 'flower', 'stem', 'new']","['leaf stem and main vein running up middle of leaf ', 'leaf ', 'an edible leaf (plant)']",leaf - leaves - edible - plant - flowers - potato - sweet - flower - stem - new,1.0,False
45,ak,crow,1,1_bird_birds_wings_rooster,"['bird', 'birds', 'wings', 'rooster', 'duck', 'nest', 'hen', 'pigeon', 'chickens', 'describe']","['a type of bird', 'bird', 'bird']",bird - birds - wings - rooster - duck - nest - hen - pigeon - chickens - describe,0.439507997128248,False
46,"akâu, akŏu",body,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
47,akap,mouse trap,57,57_trap_pam_bird_works,"['trap', 'pam', 'bird', 'works', 'stakes', 'shuts', 'sharpened', 'planted', 'drops', 'chokes']","['trap that works by trigger which trap drops on animal', 'bird trap', 'fish trap']",trap - pam - bird - works - stakes - shuts - sharpened - planted - drops - chokes,1.0,False
48,akar,skin ,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
49,akăn ,wife ,8,8_family_younger_mother_women,"['family', 'younger', 'mother', 'women', 'brother', 'father', 'daughter', 'older', 'children', 'child']","[""father's or mother's elder brother "", 'an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'younger brother of father or mother']",family - younger - mother - women - brother - father - daughter - older - children - child,0.27693209231518845,False
50,ake ,horn (animal),75,75_carabao_cow_horn_rengao,"['carabao', 'cow', 'horn', 'rengao', 'rhinoceros', 'fourpoled', 'digestive', 'hornbill', 'carabaos', 'bull']","['carabao', 'the stomach of a cow, carabao', 'horn of cow or carabao used to make sound']",carabao - cow - horn - rengao - rhinoceros - fourpoled - digestive - hornbill - carabaos - bull,1.0,False
51,akhan,"to tell, to teach",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
52,akhoi,prevent ,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
53,ako ,neck,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
54,"akoh, akoh sut",honey-thick yellow stage,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
55,"akŏm, akŭm","to meet together, to gather things",41,41_together_meet_along_gather,"['together', 'meet', 'along', 'gather', 'agree', 'discuss', 'common', 'go', 'things', 'accept']","['together ', 'to meet together', 'to meet together, to gather things']",together - meet - along - gather - agree - discuss - common - go - things - accept,1.0,True
56,akôih,"to shave, to scrape",20,20_scrape_dirty_clean_wash,"['scrape', 'dirty', 'clean', 'wash', 'muddy', 'scratch', 'peel', 'off', 'paint', 'wipe']","['dirty water', 'to scrape out of the way, to scrape out and throw away', 'to scrape e.g. scrape pig skin']",scrape - dirty - clean - wash - muddy - scratch - peel - off - paint - wipe,1.0,False
57,akơn,pillow,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
58,akơn,to lean on,4,4_fall_down_jump_stand,"['fall', 'down', 'jump', 'stand', 'lean', 'upon', 'falling', 'over', 'up', 'quickly']","['to fall down from standing position, fall over', 'to make to fall over', 'to make to fall down ']",fall - down - jump - stand - lean - upon - falling - over - up - quickly,0.7216140679114256,False
59,akơng,leaf stem and main vein running up middle of leaf ,59,59_leaf_leaves_edible_plant,"['leaf', 'leaves', 'edible', 'plant', 'flowers', 'potato', 'sweet', 'flower', 'stem', 'new']","['leaf stem and main vein running up middle of leaf ', 'leaf ', 'an edible leaf (plant)']",leaf - leaves - edible - plant - flowers - potato - sweet - flower - stem - new,0.9318767154509128,True
60,ala ,"under, beneath ",50,50_side_middle_inside_behind,"['side', 'middle', 'inside', 'behind', 'cases', 'paragraph', 'beneath', 'encircling', 'in', 'outer']","['side, as for, in some cases, may be a paragraph marker', 'one side', 'side by side']",side - middle - inside - behind - cases - paragraph - beneath - encircling - in - outer,0.6940975840723018,False
61,alah,ouch ,3,3_this_maybe_like_even,"['this', 'maybe', 'like', 'even', 'now', 'therefore', 'so', 'also', 'probably', 'but']","['perhaps, maybe this, maybe that ', 'like this', 'maybe this, maybe that']",this - maybe - like - even - now - therefore - so - also - probably - but,0.6036626824596276,False
62,alah,lazy,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
63,amăn,spend only a little,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
64,ameng,to sit in one place working away,10,10_live_go_long_die,"['live', 'go', 'long', 'die', 'somewhere', 'away', 'defeated', 'detour', 'escape', 'home']","['to live', 'to live long', 'to escape, flee, go away']",live - go - long - die - somewhere - away - defeated - detour - escape - home,1.0,False
65,amǐl,"glass, mirror",26,26_wine_jar_bottle_gourd,"['wine', 'jar', 'bottle', 'gourd', 'cup', 'pour', 'glass', 'drink', 'great', 'expensive']","['type of expensive wine jar', 'wine', 'wine']",wine - jar - bottle - gourd - cup - pour - glass - drink - great - expensive,0.30930590690934684,False
66,amǐk,continually ,80,80_continually_accustomed_habit_occurring,"['continually', 'accustomed', 'habit', 'occurring', 'verb', 'often', 'customarily', 'duplicated', 'customary', 'khm']","['continually', 'continually', 'continually']",continually - accustomed - habit - occurring - verb - often - customarily - duplicated - customary - khm,1.0,False
67,amră,peacock,1,1_bird_birds_wings_rooster,"['bird', 'birds', 'wings', 'rooster', 'duck', 'nest', 'hen', 'pigeon', 'chickens', 'describe']","['a type of bird', 'bird', 'bird']",bird - birds - wings - rooster - duck - nest - hen - pigeon - chickens - describe,0.4894075149899729,False
68,amrĕ,red pepper,46,46_delicious_pepper_salt_bitter,"['delicious', 'pepper', 'salt', 'bitter', 'red', 'tea', 'sugar', 'bread', 'cinnamon', 'tasteless']","['delicious', 'red pepper', 'to salt, pepper']",delicious - pepper - salt - bitter - red - tea - sugar - bread - cinnamon - tasteless,1.0,True
69,amrĕ nô,"type of red pepper, large and not so hot ",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
70,amrĕl,words of someone insisting they can do something but they can't,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
71,"anai, nai","different, another",94,94_different_strange_new_recent,"['different', 'strange', 'new', 'recent', 'performed', 'peculiar', 'usual', 'ordinary', 'just', 'same']","['different ', 'different, strange ', 'different, new']",different - strange - new - recent - performed - peculiar - usual - ordinary - just - same,1.0,False
72,anaǐ,to think mistakenly ,11,11_think_forget_recognize_understand,"['think', 'forget', 'recognize', 'understand', 'mistakenly', 'test', 'guess', 'know', 'try', 'ask']","['to think mistakenly ', 'to suppose, think, think mistakenly', 'to think']",think - forget - recognize - understand - mistakenly - test - guess - know - try - ask,0.4949242894141478,True
73,anam ,necklace of beads,103,103_necklace_chain_bracelet_earrings,"['necklace', 'chain', 'bracelet', 'earrings', 'put', 'ringtype', 'jewels', 'beads', 'stones', 'ring']","['chain', 'chain necklace', 'chain']",necklace - chain - bracelet - earrings - put - ringtype - jewels - beads - stones - ring,1.0,False
74,anat,difficult,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
75,anăn,name,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
76,anăp,in front of ,50,50_side_middle_inside_behind,"['side', 'middle', 'inside', 'behind', 'cases', 'paragraph', 'beneath', 'encircling', 'in', 'outer']","['side, as for, in some cases, may be a paragraph marker', 'one side', 'side by side']",side - middle - inside - behind - cases - paragraph - beneath - encircling - in - outer,1.0,False
77,sơnăm anăp,next year,47,47_today_future_day_days,"['today', 'future', 'day', 'days', 'after', 'tomorrow', 'yesterday', 'next', 'later', 'year']","['three days after today', 'fifth day after today ', 'fourth day after today ']",today - future - day - days - after - tomorrow - yesterday - next - later - year,0.5196112686800286,False
78,anễ,in the middle,50,50_side_middle_inside_behind,"['side', 'middle', 'inside', 'behind', 'cases', 'paragraph', 'beneath', 'encircling', 'in', 'outer']","['side, as for, in some cases, may be a paragraph marker', 'one side', 'side by side']",side - middle - inside - behind - cases - paragraph - beneath - encircling - in - outer,1.0,False
79,anih,place,77,77_place_there_where_everywhere,"['place', 'there', 'where', 'everywhere', 'island', 'put', 'right', 'over', 'take', 'which']","['place', 'place', 'place']",place - there - where - everywhere - island - put - right - over - take - which,1.0,True
80,ano,to give oneself a name meaning strong,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
81,anong,to carry by pole on shoulder,87,87_carry_shoulder_carrying_hold,"['carry', 'shoulder', 'carrying', 'hold', 'on', 'back', 'warmth', 'shoulders', 'holster', 'rocking']","['to carry by pole on shoulder', 'to carry on back', 'to carry on the shoulder ']",carry - shoulder - carrying - hold - on - back - warmth - shoulders - holster - rocking,1.0,True
82,anỗ,to go,10,10_live_go_long_die,"['live', 'go', 'long', 'die', 'somewhere', 'away', 'defeated', 'detour', 'escape', 'home']","['to live', 'to live long', 'to escape, flee, go away']",live - go - long - die - somewhere - away - defeated - detour - escape - home,1.0,False
83,anul,"to play, tease",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
84,anŭng,a package,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
85,and,"glory, famous, report",102,102_praise_greet_bow_thank,"['praise', 'greet', 'bow', 'thank', 'worship', 'salute', 'report', 'catholics', 'christian', 'famous']","['to praise, be amazed at', 'to praise ', 'to praise']",praise - greet - bow - thank - worship - salute - report - catholics - christian - famous,1.0,False
86,anglaī-anglaī,dangerous things,30,30_afraid_fearful_surprise_concerned,"['afraid', 'fearful', 'surprise', 'concerned', 'frightened', 'dangerous', 'expression', 'be', 'longtounged', 'disgust']","['to be afraid continually, person who is always afraid ', 'to not be afraid ', 'to be afraid']",afraid - fearful - surprise - concerned - frightened - dangerous - expression - be - longtounged - disgust,0.331432800445013,False
87,anglop,sheath for sword,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
88,angỡm,"headband, to put on headband",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
89,anhăk,"to carry along, bring",87,87_carry_shoulder_carrying_hold,"['carry', 'shoulder', 'carrying', 'hold', 'on', 'back', 'warmth', 'shoulders', 'holster', 'rocking']","['to carry by pole on shoulder', 'to carry on back', 'to carry on the shoulder ']",carry - shoulder - carrying - hold - on - back - warmth - shoulders - holster - rocking,0.5044438813712975,False
90,anhok,"to choke with string, rope",18,18_weaving_thread_rope_weave,"['weaving', 'thread', 'rope', 'weave', 'string', 'instrument', 'wire', 'used', 'cotton', 'sew']","['instrument used to keep thread close together in weaving', 'instrument used carry thread in weaving', 'an instrument used to keep thread in weaving even ']",weaving - thread - rope - weave - string - instrument - wire - used - cotton - sew,0.3202631719458046,False
91,anhŭn,hammock,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
