,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
21,edible grass-like leaf,45,45_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['stem that makes new leaf, flower', 'leaf stem and main vein running up middle of leaf ', 'leaf ']",plants -  -  -  -  -  -  -  -  - ,0.8299965964420153,False
22,the skin that a snake sheds,58,58_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['a kind of snake the size of rattan', 'type of poisonous snake with black and white stripes', 'snake']",animals activity -  -  -  -  -  -  -  -  - ,0.8858177328995287,False
23,"before, in front of, first",60,60_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['before, in front of, first', 'to begin, the beginning ', 'before, first']",human activity -  -  -  -  -  -  -  -  - ,0.9307071284948557,True
24,animal shed,28,28_animals___,"['animals', '', '', '', '', '', '', '', '', '']","['to look for by smelling as dog after prey', 'to make to look for by smelling e.g. dog after prey', 'dog']",animals -  -  -  -  -  -  -  -  - ,0.9435685605883313,False
25,"to wiggle, squirm, shake ",61,61_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to shake from fear', 'to shake from fear ', 'to shake from fear']",animals activity -  -  -  -  -  -  -  -  - ,0.8735987365334457,False
26,many objects shaking,61,61_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to shake from fear', 'to shake from fear ', 'to shake from fear']",animals activity -  -  -  -  -  -  -  -  - ,0.9092660543853593,False
27,toad,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
28,alone,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
29,evening,63,63_morning_night_early_evening,"['morning', 'night', 'early', 'evening', 'star', 'nightblindness', 'oclock', 'afternoon', 'nighthawk', 'three']","['at night night time', 'to go early in the morning', 'early in the morning']",morning - night - early - evening - star - nightblindness - oclock - afternoon - nighthawk - three,0.983141599117193,False
30,"young unmarried lady, girl",65,65_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['husband and wife', 'young unmarried man', 'to separate man from wife or not let a couple marry']",human activity -  -  -  -  -  -  -  -  - ,0.9310575787206946,False
31,young people (girls and boys),-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
32,to shake in container,61,61_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to shake from fear', 'to shake from fear ', 'to shake from fear']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
33,can not marry each other because related,65,65_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['husband and wife', 'young unmarried man', 'to separate man from wife or not let a couple marry']",human activity -  -  -  -  -  -  -  -  - ,0.6973180380200568,False
34,"shinny up tree, cross water on rope",13,13_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['type of tree--very large', 'the Têt tree ', 'a type of tree']",plants -  -  -  -  -  -  -  -  - ,0.34588886979095745,False
35,to meet together,49,49_together_meet_gather_discuss,"['together', 'meet', 'gather', 'discuss', 'sleeping', 'different', 'things', 'doing', 'reciprocal', 'company']","['together', 'to meet together, to gather things', 'to meet together']",together - meet - gather - discuss - sleeping - different - things - doing - reciprocal - company,1.0,True
36,centipede ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
37,final question particle,27,27_language___,"['language', '', '', '', '', '', '', '', '', '']","['final particle', 'final particle', 'final particle']",language -  -  -  -  -  -  -  -  - ,1.0,False
38,"now, these days",76,76_day_today_days_after,"['day', 'today', 'days', 'after', 'tomorrow', 'yesterday', 'raday', 'fourth', 'sunday', 'fifth']","['day ', 'fourth day after today ', 'fifth day after today ']",day - today - days - after - tomorrow - yesterday - raday - fourth - sunday - fifth,0.6998329780482665,False
39,"lucky, fortunate, also meaning of strength, authority in some mystical sense",98,98_happy_lucky_fortunate_relieved,"['happy', 'lucky', 'fortunate', 'relieved', 'worries', 'turns', 'happygolucky', 'mystical', 'authority', 'pleasant']","['to be happy', 'happy', 'happy ']",happy - lucky - fortunate - relieved - worries - turns - happygolucky - mystical - authority - pleasant,1.0,False
40,"fault, responsibility",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
41,it will be your fault,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
42,to be equal,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
43,vocative in final position,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
44,a forest plant which has edible flowers,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
45,crow,87,87_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['comb of rooster ', 'rooster', 'the crow of a rooster']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
46,body,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
47,mouse trap,39,39_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to catch animals, trap animals', 'bird trap', 'fish trap']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
48,skin ,20,20_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['very black, dirty black ', 'very black, dirty black', 'color combination of having small spots of black and white']",human activity -  -  -  -  -  -  -  -  - ,0.5242858995020865,False
49,wife ,65,65_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['husband and wife', 'young unmarried man', 'to separate man from wife or not let a couple marry']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
50,horn (animal),-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
51,"to tell, to teach",74,74_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to tell, to teach', 'to translate interpret explain', 'to arbitrate, judge, have trial; to interpret explain']",human activity -  -  -  -  -  -  -  -  - ,1.0,True
52,prevent ,22,22_language___,"['language', '', '', '', '', '', '', '', '', '']","['to keep on doing', 'to keep on doing', 'to stop, prevent ']",language -  -  -  -  -  -  -  -  - ,1.0,False
53,neck,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
54,honey-thick yellow stage,79,79_bananas_banana_yellow_fat,"['bananas', 'banana', 'yellow', 'fat', 'potato', 'long', 'short', 'overcooked', 'honeythick', 'bud']","['short fat yellow bananas also known as ""Vietnamese bananas""', 'short fat yellow bananas', 'long yellow bananas']",bananas - banana - yellow - fat - potato - long - short - overcooked - honeythick - bud,0.47104257107635616,False
55,"to meet together, to gather things",49,49_together_meet_gather_discuss,"['together', 'meet', 'gather', 'discuss', 'sleeping', 'different', 'things', 'doing', 'reciprocal', 'company']","['together', 'to meet together, to gather things', 'to meet together']",together - meet - gather - discuss - sleeping - different - things - doing - reciprocal - company,0.8634550513677156,True
56,"to shave, to scrape",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
57,pillow,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
58,to lean on,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
59,leaf stem and main vein running up middle of leaf ,45,45_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['stem that makes new leaf, flower', 'leaf stem and main vein running up middle of leaf ', 'leaf ']",plants -  -  -  -  -  -  -  -  - ,0.7515144999714841,True
60,"under, beneath ",73,73_language___,"['language', '', '', '', '', '', '', '', '', '']","['in between, in the middle ', 'in the middle', 'in the middle']",language -  -  -  -  -  -  -  -  - ,1.0,False
61,ouch ,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
62,lazy,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
63,spend only a little,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
64,to sit in one place working away,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
65,"glass, mirror",2,2_water___,"['water', '', '', '', '', '', '', '', '', '']","['running water from rain', 'deep water in river or in sea ', 'water']",water -  -  -  -  -  -  -  -  - ,0.6137158316591028,False
66,continually ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
67,peacock,26,26_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['a type of bird', 'bird', 'bird']",animals activity -  -  -  -  -  -  -  -  - ,0.5812114086153589,False
68,red pepper,91,91_language___,"['language', '', '', '', '', '', '', '', '', '']","['to salt, pepper', 'red pepper', 'small red pepper that is very hot']",language -  -  -  -  -  -  -  -  - ,1.0,True
69,"type of red pepper, large and not so hot ",91,91_language___,"['language', '', '', '', '', '', '', '', '', '']","['to salt, pepper', 'red pepper', 'small red pepper that is very hot']",language -  -  -  -  -  -  -  -  - ,1.0,False
70,words of someone insisting they can do something but they can't,9,9_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to want, desire ', 'to want, desire', 'to want, desire']",human activity -  -  -  -  -  -  -  -  - ,0.16562321143046918,False
71,"different, another",69,69_different_strange_new_usual,"['different', 'strange', 'new', 'usual', 'peculiar', 'unaware', 'unprepared', 'same', 'another', 'ordinary']","['different, new', 'different ', 'different, strange ']",different - strange - new - usual - peculiar - unaware - unprepared - same - another - ordinary,1.0,False
72,to think mistakenly ,68,68_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to think', 'to think mistakenly ', 'to suppose, think, think mistakenly']",human activity -  -  -  -  -  -  -  -  - ,1.0,True
73,necklace of beads,36,36_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['ring-type earrings', 'metal necklace (all one piece)', 'chain necklace']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
74,difficult,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
75,name,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
76,in front of ,73,73_language___,"['language', '', '', '', '', '', '', '', '', '']","['in between, in the middle ', 'in the middle', 'in the middle']",language -  -  -  -  -  -  -  -  - ,1.0,False
77,next year,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
78,in the middle,73,73_language___,"['language', '', '', '', '', '', '', '', '', '']","['in between, in the middle ', 'in the middle', 'in the middle']",language -  -  -  -  -  -  -  -  - ,1.0,True
79,place,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
80,to give oneself a name meaning strong,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
81,to carry by pole on shoulder,75,75_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to carry by pole on shoulder', 'to carry on back', 'to carry on the shoulder ']",human activity -  -  -  -  -  -  -  -  - ,0.9028945963056711,True
82,to go,5,5_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['quickly, fast', 'to go quickly', 'fast, quickly ']",human activity -  -  -  -  -  -  -  -  - ,0.42348571798485424,False
83,"to play, tease",32,32_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to keep quiet', 'to be quiet t', 'to be quiet']",human activity -  -  -  -  -  -  -  -  - ,0.42479071977329896,False
84,a package,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,0.9629919218621802,False
85,"glory, famous, report",53,53_language___,"['language', '', '', '', '', '', '', '', '', '']","['to praise ', 'to praise', 'to praise, be amazed at']",language -  -  -  -  -  -  -  -  - ,1.0,False
86,dangerous things,30,30_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to be afraid continually, person who is always afraid ', 'to not be afraid ', 'to be afraid']",human activity -  -  -  -  -  -  -  -  - ,0.209293200768676,False
87,sheath for sword,35,35_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to tighten as handle of knife ', 'knife', 'back side of knife blade']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
88,"headband, to put on headband",67,67_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to put head back', 'to put on over the head', 'head']",human activity -  -  -  -  -  -  -  -  - ,0.9296895215403684,False
89,"to carry along, bring",75,75_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to carry by pole on shoulder', 'to carry on back', 'to carry on the shoulder ']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
90,"to choke with string, rope",12,12_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['instrument used to keep thread close together in weaving', 'an instrument used to keep thread in weaving even ', 'instrument used carry thread in weaving']",human activity -  -  -  -  -  -  -  -  - ,0.34930011617737144,False
91,hammock,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
92,"shirt, blouse ",14,14_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to put on clothes', 'clothes', 'clothes ']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
93,to dream of something that happened during the day,9,9_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to want, desire ', 'to want, desire', 'to want, desire']",human activity -  -  -  -  -  -  -  -  - ,0.18399733580357613,False
94,"to pay wages, to reward",55,55_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to be very rich', 'to pay fine, give back, make restitution, pay rent ', 'to be greedy, not give in return when given to']",human activity -  -  -  -  -  -  -  -  - ,0.8861619641688077,False
95,"ask for, beg for",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
96,to dream,9,9_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to want, desire ', 'to want, desire', 'to want, desire']",human activity -  -  -  -  -  -  -  -  - ,0.2360205106161744,False
97,to communicate a disease,93,93_language___,"['language', '', '', '', '', '', '', '', '', '']","[""to speak indirectly (through figures) to get one's point across often in"", 'to speak, talk ', 'to speak with magical power, to speak and have something magical happen ']",language -  -  -  -  -  -  -  -  - ,1.0,False
98,"round, roundish",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
99,"to wish, beseech",9,9_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to want, desire ', 'to want, desire', 'to want, desire']",human activity -  -  -  -  -  -  -  -  - ,0.42351500495504024,False
100,section area,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
101,bedbug,0,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['oh!', 'gall bladder', 'gall bladder']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
102,"crisp, brittle, hard",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
103,hard (material),-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
104,"well, having no illness",40,40_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['very tired and weak from lack of food or sickness', 'to be very tired', 'tired ']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
105,to hate,15,15_language___,"['language', '', '', '', '', '', '', '', '', '']","['to be angry ', 'to be angry', 'to make sad, angry ']",language -  -  -  -  -  -  -  -  - ,1.0,False
106,a type of tree,13,13_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['type of tree--very large', 'the Têt tree ', 'a type of tree']",plants -  -  -  -  -  -  -  -  - ,0.9353010057976163,True
107,to live,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
108,type of tree with fruit used to trap birds,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
109,bad backache,86,86_smell_bad_smelly_stink,"['smell', 'bad', 'smelly', 'stink', 'fragrant', 'backache', 'nice', 'mess', 'permeate', 'rotten']","['white, clean, no smell ', 'bad smell of old meat', 'bad smell']",smell - bad - smelly - stink - fragrant - backache - nice - mess - permeate - rotten,0.9251055992898335,False
110,roar of tiger,57,57_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['sound of roar of tiger', 'roar of tiger', 'tiger']",animals activity -  -  -  -  -  -  -  -  - ,1.0,True
111,to fish with rod,16,16_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['type of fish', 'fish', 'a type of fish']",animals activity -  -  -  -  -  -  -  -  - ,0.8913428131360461,False
112,horse,47,47_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['white horse ', 'mane of horse, pig', 'horse']",animals activity -  -  -  -  -  -  -  -  - ,1.0,True
113,sound of sneeze,1,1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']",human activity -  -  -  -  -  -  -  -  - ,0.5626879834574505,False
114,chirp of bird,26,26_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['a type of bird', 'bird', 'bird']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
115,"to divide, distribute",84,84_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to split', 'to split up ', 'to split']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
116,to cover oneself with a blanket,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
117,far,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
118,very far,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
119,"give authority, request, accuse",43,43_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to lie down', 'to lie', 'to lie']",human activity -  -  -  -  -  -  -  -  - ,0.32086741942255836,False
120,to hang up - as a banner,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
121,strap of basket ,77,77_basket_back_small_decorative,"['basket', 'back', 'small', 'decorative', 'belongings', 'bottom', 'cage', 'market', 'backbasket', 'drying']","['type of basket', 'small back basket ', 'small back basket']",basket - back - small - decorative - belongings - bottom - cage - market - backbasket - drying,1.0,False
122,type of gruel eaten with rest of meal-meat and bamboo sprouts,8,8_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",human activity -  -  -  -  -  -  -  -  - ,0.1335339247408966,False
123,"to command, order ",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
124,"to command, order",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
